"","orig.ident","nCount_RNA","nFeature_RNA","percent_mt","percent_ERCC","S.Score","G2M.Score","Phase","old.ident"
"YFUFAW","XRA",823104,1346,6.42105979317316,0,-0.0633394575340935,0.00404623970873678,"G2M","XRA"
"XFJRTN","XRA",1901297,2546,4.49124992044904,0.00220901837009157,-0.0698117084926389,0.0408145828803155,"G2M","XRA"
"CNVPLO","XRA",883785,2325,10.7642695904547,0.0694739105099091,-0.0195636723341703,-0.0098412934891861,"G1","XRA"
"UEZMYX","XRA",1843228,2153,4.12260447432439,0,-0.0700493923995817,-0.0148676038799102,"G1","XRA"
"TRQBLN","XRA",28917,601,2.42072137496974,0,-0.0274412078795192,-0.0335885162317783,"G1","XRA"
"YSSMDU","XRA",2448010,2853,7.93109505271629,0,-0.0831890665638501,-0.00952804569246433,"G1","XRA"
"LLADKT","XRA",2374972,2538,8.75176633661365,4.21057595626391e-05,-0.0743487909966094,-0.0901733125950555,"G1","XRA"
"APXSGW","XRA",174096,806,6.83760683760684,0,-0.0274224444598149,-0.0517796455675096,"G1","XRA"
"TBSHHV","XRA",2007875,2271,12.2922990724024,0,-0.0538127533794429,-0.0563903600733204,"G1","XRA"
"CBJOPH","XRA",810070,1938,1.89144148036589,0,-0.067239028544018,-0.0385121323489699,"G1","XRA"
"MXODLE","XRA",119709,1004,5.81911134501165,0,-0.0541940287911023,0.0389700369555663,"G2M","XRA"
"LFYLUE","XRA",434531,1285,8.24083897351397,0.00322186449298209,-0.0420477556003835,-0.0416184171412465,"G1","XRA"
"WFEEOS","XRA",377944,873,4.56416823656415,0.00343966301885994,-0.0528268176648083,-0.0542978558636614,"G1","XRA"
"WSMVAZ","XRA",108496,823,8.42150862704616,0,-0.0514459288101126,-0.0586480278724681,"G1","XRA"
"XSTMWE","XRA",20522,410,12.5426371698665,0,-0.0223584267516362,0.0215892094910887,"G2M","XRA"
"QHLBEB","XRA",2155295,1982,2.48629537951881,0,-0.0575469895140055,0.0775752365890348,"G2M","XRA"
"HRJYIA","XRA",672729,1307,12.2938062726596,0,-0.0420056289867989,-0.0244607148745145,"G1","XRA"
"JKJYJO","XRA",1024652,1539,7.15960150373005,0,-0.0552254599550933,-0.0405921960736985,"G1","XRA"
"TVWAFJ","XRA",1756527,2512,4.19458397166682,0.0221459732756741,0.0481099412989996,0.0343193503566213,"S","XRA"
"HSSXVU","XRA",2401665,2739,5.69596509088487,0,0.0221701273646107,0.10494314099523,"G2M","XRA"
"BQSJYT","XRA",1547650,2504,7.25409491810164,0.0463283042031467,-0.0653349604422125,-0.0153768559674053,"G1","XRA"
"GLTZIY","XRA",906134,1601,5.93389057247604,0,-0.0513967198888049,-0.069860439530523,"G1","XRA"
