"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C3",0,4.11614544455283,0.954,0.08,0,"0","C3"
"DCN",0,3.71878475678162,0.999,0.126,0,"0","DCN"
"CILP",0,4.46180430619397,0.921,0.053,0,"0","CILP"
"COL6A3",0,4.35877272236661,0.957,0.102,0,"0","COL6A3"
"C1S",0,3.94980476825487,0.989,0.134,0,"0","C1S"
"CFD",0,3.75590988648627,0.961,0.11,0,"0","CFD"
"ADH1B",0,4.27276907834582,0.931,0.081,0,"0","ADH1B"
"MFAP5",0,3.54198138733195,0.891,0.06,0,"0","MFAP5"
"APOD",0,2.58770016887381,0.99,0.167,0,"0","APOD"
"SERPINF1",0,3.2138147088131,0.967,0.153,0,"0","SERPINF1"
"MFAP4",0,4.36808234971696,0.866,0.061,0,"0","MFAP4"
"C1R",0,3.80494808044542,0.945,0.143,0,"0","C1R"
"FBLN5",0,4.3220304760229,0.872,0.075,0,"0","FBLN5"
"PRELP",0,4.01360370451502,0.877,0.081,0,"0","PRELP"
"LAMA2",0,3.66472085518428,0.959,0.166,0,"0","LAMA2"
"FBLN1",0,3.79634207171652,0.885,0.094,0,"0","FBLN1"
"MGST1",0,2.86030352218368,0.872,0.082,0,"0","MGST1"
"MMP2",0,4.41228670507144,0.844,0.06,0,"0","MMP2"
"IGFBP6",0,3.39494392938287,0.874,0.096,0,"0","IGFBP6"
"FSTL1",0,3.28730109299397,0.949,0.181,0,"0","FSTL1"
"EFEMP1",0,4.12566198399245,0.822,0.06,0,"0","EFEMP1"
"PDGFRA",0,4.05254051735307,0.819,0.057,0,"0","PDGFRA"
"NID1",0,3.51000839782598,0.856,0.108,0,"0","NID1"
"SCARA5",0,3.72555970626892,0.794,0.054,0,"0","SCARA5"
"COL6A1",0,3.2856655926016,0.851,0.118,0,"0","COL6A1"
"LUM",0,3.83487747833004,0.79,0.058,0,"0","LUM"
"ABCA8",0,3.12145440981623,0.82,0.098,0,"0","ABCA8"
"ABI3BP",0,3.59401717620145,0.811,0.09,0,"0","ABI3BP"
"LAMC1",0,3.05612516914501,0.902,0.188,0,"0","LAMC1"
"MAP1B",0,2.59984901995519,0.878,0.165,0,"0","MAP1B"
"LRP1",0,2.90049173594957,0.867,0.163,0,"0","LRP1"
"COL12A1",0,4.42605634054787,0.75,0.059,0,"0","COL12A1"
"FBN1",0,3.40684775770437,0.802,0.113,0,"0","FBN1"
"ABCA9",0,4.76765777609168,0.747,0.06,0,"0","ABCA9"
"OLFML3",0,3.65023320929283,0.736,0.054,0,"0","OLFML3"
"RNASE4",0,2.61698393059808,0.805,0.127,0,"0","RNASE4"
"GFRA1",0,3.4918650838461,0.724,0.058,0,"0","GFRA1"
"COL1A2",0,2.77474804418783,0.75,0.092,0,"0","COL1A2"
"COL6A2",0,3.37766007349871,0.753,0.097,0,"0","COL6A2"
"TNFAIP6",0,3.29525448701077,0.722,0.067,0,"0","TNFAIP6"
"DPT",0,4.10625948654137,0.691,0.038,0,"0","DPT"
"PDGFRL",0,3.92619227689801,0.699,0.048,0,"0","PDGFRL"
"CYP4B1",0,3.31063247531245,0.746,0.097,0,"0","CYP4B1"
"SMOC2",0,4.29455660744484,0.682,0.046,0,"0","SMOC2"
"VIT",0,3.23323790699269,0.684,0.058,0,"0","VIT"
"LTBP2",0,3.91396290685269,0.662,0.043,0,"0","LTBP2"
"CCN5",0,3.85132355542576,0.653,0.034,0,"0","CCN5"
"NOVA1",0,3.56627525863668,0.67,0.052,0,"0","NOVA1"
"SVEP1",0,4.06107587312057,0.641,0.038,0,"0","SVEP1"
"GFPT2",0,3.58455132597517,0.663,0.066,0,"0","GFPT2"
"PID1",0,3.44739681914855,0.656,0.064,0,"0","PID1"
"CTSK",0,3.17715197019899,0.637,0.053,0,"0","CTSK"
"GPX3",0,3.29008100849535,0.999,0.419,0,"0","GPX3"
"AGTR1",0,3.50607514083264,0.62,0.04,0,"0","AGTR1"
"NEGR1",0,4.08073366752302,0.602,0.031,0,"0","NEGR1"
"SLIT2",0,3.01570170598359,0.612,0.045,0,"0","SLIT2"
"ISLR",0,3.47863230032086,0.609,0.043,0,"0","ISLR"
"PODN",0,4.29024809501377,0.581,0.027,0,"0","PODN"
"SERPING1",0,2.94695294389936,0.996,0.455,0,"0","SERPING1"
"SPOCK1",1.22134921036197e-305,3.54338408732352,0.588,0.041,5.22004652508708e-301,"0","SPOCK1"
"LAMB1",1.03655803281803e-300,3.35512471885232,0.722,0.099,4.43024903226426e-296,"0","LAMB1"
"ABCA6",2.17921309006163e-300,3.1204655569412,0.706,0.087,9.3139567469234e-296,"0","ABCA6"
"CRISPLD2",9.1343331325526e-297,2.07238412182654,0.942,0.23,3.90401398085298e-292,"0","CRISPLD2"
"MGP",8.07289920952685e-295,2.11341482649493,0.989,0.306,3.45035712215178e-290,"0","MGP"
"FBLN2",9.51293291493678e-291,3.40966372073812,0.746,0.116,4.06582752784398e-286,"0","FBLN2"
"AOX1",5.07636976680544e-285,3.55165701880092,0.544,0.035,2.16964043833264e-280,"0","AOX1"
"SDC2",6.7962891158982e-283,2.62453545490833,0.699,0.093,2.90473396813489e-278,"0","SDC2"
"BICC1",2.03640316301052e-281,2.86917964484569,0.667,0.081,8.70358711870695e-277,"0","BICC1"
"GPNMB",1.05268477767779e-280,3.38644178875981,0.662,0.083,4.49917473979488e-276,"0","GPNMB"
"CYBRD1",6.21473218986635e-278,2.15648310217273,0.902,0.217,2.65617653794888e-273,"0","CYBRD1"
"ADGRD1",4.33238840040851e-277,4.18342402082118,0.504,0.027,1.8516628023346e-272,"0","ADGRD1"
"CFH",2.58350643038211e-276,2.50212794817966,0.794,0.149,1.10419064834531e-271,"0","CFH"
"EBF1",8.74854331332228e-273,2.66088110809935,0.827,0.177,3.73912741211394e-268,"0","EBF1"
"CDO1",3.04368103618752e-262,3.00774705270536,0.555,0.047,1.30086927486654e-257,"0","CDO1"
"MEDAG",3.5219047648341e-262,2.88566701651239,0.616,0.069,1.50526209649009e-257,"0","MEDAG"
"MYOC",4.44513129706813e-262,3.38600949479615,0.535,0.041,1.89984911636692e-257,"0","MYOC"
"CCDC80",1.19967981839065e-261,3.16696341717409,0.617,0.074,5.12743154380163e-257,"0","CCDC80"
"SRPX",2.53617531985221e-259,3.23234781537202,0.645,0.087,1.08396133170483e-254,"0","SRPX"
"PLPP3",2.7467753259182e-259,2.41886059528848,0.895,0.259,1.17397177429744e-254,"0","PLPP3"
"LPAR1",2.84387499876946e-259,3.96714905414796,0.507,0.035,1.21547217447407e-254,"0","LPAR1"
"GSN",7.66987887498369e-258,2.70357126929075,0.989,0.489,3.27810623116803e-253,"0","GSN"
"SRPX2",5.55185666859241e-257,3.67907724418695,0.518,0.039,2.3728635401564e-252,"0","SRPX2"
"RND3",1.91391010442446e-256,2.4405136080305,0.8,0.165,8.18005178631015e-252,"0","RND3"
"PTGDS",6.35177031812446e-253,3.03912243763213,0.577,0.062,2.71474663396639e-248,"0","PTGDS"
"LINC01088",3.11370851828579e-252,3.40021099206182,0.512,0.039,1.33079902071535e-247,"0","LINC01088"
"AXL",2.34961637790057e-246,2.3692201802489,0.782,0.165,1.0042260399147e-241,"0","AXL"
"PLAC9",9.43374563958064e-243,2.0267057491091,0.837,0.188,4.03198288635676e-238,"0","PLAC9"
"PTGIS",3.03904895767905e-242,3.65974412981714,0.562,0.063,1.29888952451203e-237,"0","PTGIS"
"IGF1",1.35727056993731e-241,3.6073886486812,0.454,0.025,5.80097441591206e-237,"0","IGF1"
"GALNT15",2.53358711537531e-239,2.5801676150906,0.704,0.126,1.08285513311141e-234,"0","GALNT15"
"DCLK1",1.07448500897853e-234,4.54689262289191,0.432,0.023,4.59234892837426e-230,"0","DCLK1"
"COL4A1",2.42182528091734e-233,2.64549499729956,0.826,0.23,1.03508812506407e-228,"0","COL4A1"
"FIBIN",1.50252567494876e-231,4.10124333705631,0.419,0.02,6.42179473473098e-227,"0","FIBIN"
"MAMDC2",4.13170234296379e-230,3.2421636830591,0.536,0.058,1.76588958138272e-225,"0","MAMDC2"
"PCDH9",6.90417096525869e-229,3.52960270316061,0.503,0.047,2.95084267055156e-224,"0","PCDH9"
"ABCA10",2.34064104541769e-226,3.90802003691801,0.442,0.028,1.00038998281152e-221,"0","ABCA10"
"HTRA3",8.31135548406702e-225,3.94328643955437,0.449,0.031,3.55227333389025e-220,"0","HTRA3"
"LGALS3BP",1.30640234371382e-224,2.93950068350814,0.613,0.094,5.58356361703287e-220,"0","LGALS3BP"
"LINC00632",5.0585999410371e-224,3.04459157345828,0.478,0.04,2.16204561479926e-219,"0","LINC00632"
"VCAN",1.52895931282699e-223,2.8015446680956,0.68,0.127,6.53477210302255e-219,"0","VCAN"
"COL4A2",4.08311296556919e-223,2.14593596810729,0.804,0.203,1.74512248148427e-218,"0","COL4A2"
"GPRC5A",4.85251701123795e-223,3.40557073524976,0.628,0.111,2.0739657706031e-218,"0","GPRC5A"
"ACKR3",1.02820456136065e-219,3.07790164857721,0.566,0.074,4.3945462952554e-215,"0","ACKR3"
"PCOLCE",3.04564883124704e-216,2.93948855633195,0.47,0.041,1.30171031047499e-211,"0","PCOLCE"
"GEM",8.18741304900131e-216,2.67671560450096,0.649,0.117,3.49930033714316e-211,"0","GEM"
"MXRA8",1.13502103852985e-214,3.03706112103066,0.501,0.051,4.8510799186766e-210,"0","MXRA8"
"S100A13",2.0925226542736e-214,1.71743527779856,0.854,0.228,8.94344182436536e-210,"0","S100A13"
"PLA2G2A",1.51288075122065e-213,2.73113226801143,0.481,0.043,6.46605233071706e-209,"0","PLA2G2A"
"HSD11B1",7.02968038040771e-213,4.67137300970454,0.365,0.013,3.00448539458625e-208,"0","HSD11B1"
"NUPR1",8.44970545017967e-213,1.73717519368224,0.887,0.257,3.61140410940679e-208,"0","NUPR1"
"UAP1",1.33505692303532e-212,2.32701498627091,0.885,0.331,5.70603328905298e-208,"0","UAP1"
"F3",3.59604155356821e-211,2.68571767268832,0.576,0.084,1.53694815999505e-206,"0","F3"
"CST3",3.27873629329543e-210,1.73002256638554,0.99,0.557,1.40133189175447e-205,"0","CST3"
"MFGE8",1.79170091133297e-209,1.78635046035677,0.75,0.161,7.6577296950371e-205,"0","MFGE8"
"PCDH18",3.27662960042597e-209,2.03739218434203,0.407,0.025,1.40043149122206e-204,"0","PCDH18"
"CXCL14",1.3709986044505e-207,2.32475240942175,0.714,0.154,5.85964803542143e-203,"0","CXCL14"
"COL1A1",1.53339310668895e-207,2.85977452031917,0.496,0.052,6.55372213798857e-203,"0","COL1A1"
"EGFR",1.78510738392911e-204,2.25392432412233,0.63,0.111,7.629548958913e-200,"0","EGFR"
"ANGPTL1",5.50532303022574e-203,3.13717322825088,0.454,0.042,2.35297506311848e-198,"0","ANGPTL1"
"ADAMTS5",1.90382098446816e-201,3.51919811369867,0.459,0.045,8.1369308876169e-197,"0","ADAMTS5"
"LARP6",4.45683635257782e-196,3.3518152357014,0.413,0.032,1.90485185709176e-191,"0","LARP6"
"THBS2",7.03790342982334e-196,4.5735868317745,0.362,0.018,3.0079999259065e-191,"0","THBS2"
"ANG",3.0709376748789e-195,2.29465262345011,0.521,0.068,1.31251876224324e-190,"0","ANG"
"MEG3",1.09823271525411e-193,1.38263165540012,0.671,0.127,4.69384662499607e-189,"0","MEG3"
"BMPER",2.17129127629257e-193,4.23335138741387,0.356,0.018,9.28009891487446e-189,"0","BMPER"
"TMEM45A",2.2925212131762e-193,3.40043228473641,0.412,0.033,9.79823566511507e-189,"0","TMEM45A"
"LTBP4",7.14137715312501e-193,3.43713850158808,0.526,0.078,3.05222459524563e-188,"0","LTBP4"
"PI16",1.42202005589322e-191,3.88625594323291,0.359,0.019,6.07771371888761e-187,"0","PI16"
"NOX4",4.02885759644457e-190,3.46044307361626,0.358,0.019,1.72193373672041e-185,"0","NOX4"
"TIMP2",2.29107432380471e-188,2.09770368155195,0.715,0.183,9.79205165994134e-184,"0","TIMP2"
"TIMP3",3.85080742042499e-187,1.3100851080996,0.983,0.44,1.64583509148964e-182,"0","TIMP3"
"COL3A1",2.50017996668883e-185,2.63569628754307,0.5,0.068,1.06857691776281e-180,"0","COL3A1"
"GPC3",1.01163369062076e-184,3.79506897803086,0.385,0.029,4.32372239371314e-180,"0","GPC3"
"SCN7A",1.33740622579972e-181,3.44322856729042,0.446,0.052,5.716074209068e-177,"0","SCN7A"
"ECM1",1.46879236493648e-181,3.29041999816271,0.424,0.043,6.27761856773851e-177,"0","ECM1"
"SELENOP",5.01685421319871e-181,1.67900982485722,0.865,0.308,2.14420349072113e-176,"0","SELENOP"
"FGF7",1.61895861132195e-178,3.63312206542415,0.39,0.033,6.91942910479002e-174,"0","FGF7"
"BOC",3.53940970315454e-176,3.50524037090584,0.372,0.029,1.51274370712825e-171,"0","BOC"
"SELENOM",5.9391632554382e-171,1.40597653230969,0.804,0.233,2.53839837537428e-166,"0","SELENOM"
"PCOLCE2",6.68375234432031e-169,3.35608869167324,0.352,0.026,2.8566357519625e-164,"0","PCOLCE2"
"OMD",8.2365095679687e-167,3.96498339279274,0.367,0.032,3.52028418934982e-162,"0","OMD"
"SLC19A2",9.78585115122819e-167,2.41680640061556,0.612,0.138,4.18247278203493e-162,"0","SLC19A2"
"SH3D19",1.08518275678495e-165,2.27339176742306,0.493,0.077,4.63807110249886e-161,"0","SH3D19"
"THBS4",6.15468117364375e-165,2.04886180187325,0.5,0.08,2.63051073361534e-160,"0","THBS4"
"CD248",7.54452052206797e-165,4.07268249872452,0.322,0.019,3.22452807113185e-160,"0","CD248"
"LAMC2",1.07971012067637e-163,3.62613791802292,0.329,0.021,4.6146810557708e-159,"0","LAMC2"
"TGFBR3",1.25860462338977e-162,1.90781654681988,0.825,0.304,5.37927616036789e-158,"0","TGFBR3"
"ANGPTL2",1.88431822049599e-162,3.13042505575228,0.349,0.027,8.05357607439985e-158,"0","ANGPTL2"
"CRLF1",4.64756879725574e-160,4.14595129329094,0.322,0.021,1.9863709039471e-155,"0","CRLF1"
"ERRFI1",6.45876556395214e-160,1.83960579756777,0.646,0.16,2.76047640203314e-155,"0","ERRFI1"
"RHOBTB3",8.19076814843695e-160,1.88777225326515,0.565,0.11,3.50073430664195e-155,"0","RHOBTB3"
"EGR1",2.39078937873865e-159,1.78551316590358,0.963,0.613,1.0218233804729e-154,"0","EGR1"
"XG",1.24096345142427e-158,3.07806520336037,0.322,0.021,5.30387779138734e-154,"0","XG"
"DDR2",5.91322850026174e-158,2.35245023338339,0.472,0.075,2.52731386101187e-153,"0","DDR2"
"TSKU",6.84262080811437e-157,4.40712112382835,0.298,0.016,2.92453613338808e-152,"0","TSKU"
"CPB1",8.16484506650913e-157,2.19433309122127,0.305,0.017,3.489654781426e-152,"0","CPB1"
"METTL7A",1.72466167474742e-156,1.78341867085253,0.714,0.212,7.37120399787048e-152,"0","METTL7A"
"PDGFRB",2.91732988192351e-156,1.46484322256114,0.497,0.08,1.24686679153411e-151,"0","PDGFRB"
"SLPI",3.47996437146411e-156,2.23349665860409,0.443,0.061,1.48733677236376e-151,"0","SLPI"
"HSPB6",1.96703294944374e-154,0.949578169908626,0.507,0.085,8.40709882592254e-150,"0","HSPB6"
"AC080038.1",1.39235666703067e-153,3.9610705855248,0.29,0.015,5.95093239488907e-149,"0","AC080038.1"
"CXCL12",9.33996409996933e-153,2.16112657066513,0.675,0.201,3.99190065632689e-148,"0","CXCL12"
"FHL1",3.08379573319387e-152,0.917425482281266,0.609,0.138,1.31801429636706e-147,"0","FHL1"
"TFPI",1.34683712370382e-150,1.23203180604636,0.909,0.376,5.75638186671012e-146,"0","TFPI"
"PCYOX1",4.22094273722518e-150,2.28883747236082,0.511,0.097,1.80403092589004e-145,"0","PCYOX1"
"ADH1C",5.84570099636842e-150,3.208468208887,0.312,0.022,2.49845260584786e-145,"0","ADH1C"
"CTSL",2.23633414677053e-149,1.69354544533223,0.778,0.265,9.55809214329725e-145,"0","CTSL"
"CCNG2",2.39967810907041e-149,2.50413633180258,0.441,0.068,1.02562242381669e-144,"0","CCNG2"
"LHFPL6",3.68623818055959e-149,1.87655807252149,0.651,0.176,1.57549819837117e-144,"0","LHFPL6"
"FGFR1",1.73054172857923e-148,1.54073541228308,0.724,0.221,7.39633534794762e-144,"0","FGFR1"
"PLAGL1",4.88350340200439e-148,2.27186605869877,0.483,0.087,2.08720935401668e-143,"0","PLAGL1"
"PMP22",1.56446738928613e-146,1.49187677830716,0.858,0.332,6.68653362180893e-142,"0","PMP22"
"LRP1B",4.46940957754315e-146,3.64968651533324,0.302,0.022,1.91022565344194e-141,"0","LRP1B"
"MME",9.982225223991e-145,3.18603953840166,0.33,0.03,4.26640306073375e-140,"0","MME"
"FXYD1",1.92012361490689e-144,1.20740839830211,0.475,0.08,8.20660833011206e-140,"0","FXYD1"
"SASH1",8.06191803016529e-144,1.62527072054638,0.731,0.239,3.44566376609264e-139,"0","SASH1"
"PQLC2L",1.19967048909468e-143,2.50087751885973,0.327,0.028,5.12739167039068e-139,"0","PQLC2L"
"NFIB",1.51218140565686e-142,1.34405711853282,0.881,0.382,6.46306332777741e-138,"0","NFIB"
"ANGPT1",2.38468675269828e-142,2.43294775619978,0.318,0.027,1.01921511810324e-137,"0","ANGPT1"
"OSR2",4.63889534364943e-142,4.22030279819232,0.272,0.014,1.98266386987577e-137,"0","OSR2"
"COL5A2",1.25963971088385e-141,2.53770691211358,0.38,0.048,5.3837001243176e-137,"0","COL5A2"
"FST",1.93607796810384e-141,3.34753844566751,0.312,0.026,8.27479723567579e-137,"0","FST"
"ALDH1A3",9.67313583205162e-141,3.49927195325619,0.314,0.027,4.13429825461886e-136,"0","ALDH1A3"
"ADM",1.57893206033116e-138,2.41836605891348,0.517,0.114,6.74835562585539e-134,"0","ADM"
"EBF2",1.91121143940927e-138,2.65062299989611,0.349,0.038,8.16851769203522e-134,"0","EBF2"
"APCDD1",1.93323395883641e-138,3.33601911904015,0.251,0.01,8.2626419400668e-134,"0","APCDD1"
"WNT5A",1.12375549919197e-137,5.1011546600329,0.25,0.011,4.80293100354648e-133,"0","WNT5A"
"UGDH",4.43235997890854e-137,2.06349596906111,0.546,0.128,1.89439065498551e-132,"0","UGDH"
"SGCE",8.29411182136251e-137,2.12507477945257,0.461,0.084,3.54490339245034e-132,"0","SGCE"
"GLT8D2",1.6281828918241e-136,3.22675351613771,0.314,0.029,6.95885367965619e-132,"0","GLT8D2"
"GAS1",1.00952269293441e-135,2.95829763893714,0.301,0.025,4.31469998960165e-131,"0","GAS1"
"IGFBP7",1.34275870285046e-135,1.33108978506683,0.902,0.382,5.73895069598287e-131,"0","IGFBP7"
"DOCK5",1.84316344011829e-135,2.28324815772626,0.525,0.118,7.87768054306559e-131,"0","DOCK5"
"SLC44A1",6.58551637463205e-135,1.67145027842523,0.547,0.132,2.81464969851774e-130,"0","SLC44A1"
"ABCA1",6.94751664512213e-135,2.14319809169372,0.615,0.176,2.9693686141252e-130,"0","ABCA1"
"CPQ",2.95951786270964e-134,2.30739152917207,0.506,0.112,1.2648979345221e-129,"0","CPQ"
"AC006453.2",8.3643370094865e-134,0.709107920717859,0.441,0.077,3.57491763785453e-129,"0","AC006453.2"
"LRRN4CL",1.2749741926016e-133,3.91497089056471,0.275,0.019,5.44923969917923e-129,"0","LRRN4CL"
"NFIA",8.4220583774704e-133,1.18432227010105,0.843,0.352,3.59958775053085e-128,"0","NFIA"
"OGN",3.45794907663756e-132,3.09611629748143,0.305,0.028,1.47792743535489e-127,"0","OGN"
"ADD3",8.09634086718938e-132,1.5464142829987,0.597,0.163,3.46037608663674e-127,"0","ADD3"
"ANK2",3.29927828317523e-131,2.90000296797135,0.323,0.035,1.41011153822909e-126,"0","ANK2"
"DIO3OS",3.34264778750886e-131,2.92492431641369,0.271,0.018,1.42864766438129e-126,"0","DIO3OS"
"CALD1",1.69750155593429e-130,0.692092679106871,0.849,0.317,7.25512165006317e-126,"0","CALD1"
"FMO2",3.10442174858497e-130,2.40339418557119,0.403,0.065,1.32682985534521e-125,"0","FMO2"
"ALDH1A1",9.66811054411807e-130,1.51406552003009,0.511,0.107,4.13215044655606e-125,"0","ALDH1A1"
"CCN1",3.79251382946588e-129,1.13396590381988,0.756,0.264,1.62092041071372e-124,"0","CCN1"
"DAB2",3.94435936900822e-128,1.4960612134138,0.706,0.236,1.68581919431411e-123,"0","DAB2"
"H2AFJ",6.68435343728156e-128,1.7015184509418,0.522,0.119,2.85689265909414e-123,"0","H2AFJ"
"RASD1",8.1881692224282e-127,1.89708648450685,0.573,0.147,3.49962352566581e-122,"0","RASD1"
"TCF7L2",9.82731663738302e-127,1.87032711543989,0.559,0.146,4.2001951308175e-122,"0","TCF7L2"
"FN1",3.73490736131313e-126,1.08887514118646,0.612,0.166,1.59629940622523e-121,"0","FN1"
"COL8A1",2.4957157848767e-125,2.96787192585322,0.341,0.044,1.0666689264563e-120,"0","COL8A1"
"TNXB",2.73494039290517e-124,3.7563880599794,0.319,0.038,1.16891352392767e-119,"0","TNXB"
"RBMS3",4.04568066657658e-124,1.31101532630617,0.729,0.258,1.72912391689483e-119,"0","RBMS3"
"AKR1C1",1.45758714480183e-122,2.3758854684218,0.41,0.075,6.22972745688302e-118,"0","AKR1C1"
"CTSF",6.37320316271704e-122,2.57174998937636,0.348,0.048,2.72390703174526e-117,"0","CTSF"
"MPZL1",6.5970241586102e-122,2.0718102131178,0.468,0.104,2.81956812539e-117,"0","MPZL1"
"SLC39A14",7.39172060087878e-122,2.07776230755979,0.494,0.117,3.15922138481559e-117,"0","SLC39A14"
"MYC",9.35240381161692e-121,1.46061044482497,0.838,0.39,3.99721738908507e-116,"0","MYC"
"SSPN",3.33566816915221e-120,1.93689303207544,0.345,0.047,1.42566457549565e-115,"0","SSPN"
"FMOD",3.96497968343719e-120,2.5115249943391,0.307,0.033,1.69463231670106e-115,"0","FMOD"
"ANTXR2",5.22662216487726e-120,1.93888044162345,0.461,0.098,2.23385831326854e-115,"0","ANTXR2"
"LOX",9.56486664461873e-120,3.58293955614513,0.257,0.019,4.08802400391005e-115,"0","LOX"
"INSR",2.85825251070223e-119,2.01972993291868,0.624,0.197,1.22161712307413e-114,"0","INSR"
"C11orf96",4.25234698071639e-119,0.817692226013571,0.699,0.232,1.81745309955819e-114,"0","C11orf96"
"PDPN",3.60383408786907e-118,3.05199684432554,0.276,0.026,1.54027868915524e-113,"0","PDPN"
"NTRK2",3.8294628124591e-118,1.64108947807096,0.377,0.06,1.63671240604502e-113,"0","NTRK2"
"SMIM14",9.30395506704284e-118,1.79576240407107,0.54,0.147,3.97651039565411e-113,"0","SMIM14"
"VGLL3",9.56321816127931e-118,2.57020284148405,0.318,0.039,4.08731944213078e-113,"0","VGLL3"
"EFHD1",1.35884745687589e-117,2.08708121428192,0.343,0.047,5.80771403068756e-113,"0","EFHD1"
"GLUL",1.45744512182311e-117,0.861298762762603,0.935,0.486,6.22912045067199e-113,"0","GLUL"
"CAB39L",6.94555163553199e-117,2.17566794539437,0.296,0.033,2.96852876902637e-112,"0","CAB39L"
"BCL6",1.52545519669371e-116,1.06007958532654,0.746,0.286,6.51979551066893e-112,"0","BCL6"
"AEBP1",2.49061272347882e-116,2.23662786595532,0.345,0.049,1.06448787801485e-111,"0","AEBP1"
"AC245595.1",5.01807032650902e-116,1.31219908067575,0.39,0.067,2.14472325754995e-111,"0","AC245595.1"
"AC002546.1",4.07288932978864e-115,2.67589668087686,0.26,0.022,1.74075289955166e-110,"0","AC002546.1"
"MAN1A1",6.9421747923284e-115,1.86822434234997,0.514,0.133,2.96708550624116e-110,"0","MAN1A1"
"HTRA1",9.63165951492313e-115,2.02535160695213,0.402,0.076,4.11657127667814e-110,"0","HTRA1"
"SERPINA3",2.03111995798798e-114,2.43733248619022,0.337,0.047,8.68100670044063e-110,"0","SERPINA3"
"CYP4Z2P",3.67337039788179e-114,2.7175195717464,0.271,0.025,1.56999850805468e-109,"0","CYP4Z2P"
"ADH5",1.45469320953966e-113,1.49081781884913,0.519,0.132,6.21735877757252e-109,"0","ADH5"
"SCPEP1",2.00702852094913e-113,2.0743251462741,0.442,0.097,8.57803989853656e-109,"0","SCPEP1"
"AR",3.85085138785332e-112,2.21876702331128,0.298,0.036,1.64585388316851e-107,"0","AR"
"PPL",4.45736473046839e-112,2.56626873475552,0.334,0.049,1.90507768580219e-107,"0","PPL"
"BEX3",1.10119431495132e-109,1.4057456298801,0.564,0.16,4.70650450210195e-105,"0","BEX3"
"LAPTM4A",2.45130857509349e-109,0.999478576531787,0.931,0.491,1.04768928499496e-104,"0","LAPTM4A"
"IGFBP5",1.03374828148355e-108,0.864458381260185,0.68,0.219,4.41824015506068e-104,"0","IGFBP5"
"SOD3",2.57684396799446e-108,2.2518155806527,0.305,0.039,1.10134311192083e-103,"0","SOD3"
"STEAP4",9.56665796068004e-108,1.53887734594743,0.377,0.067,4.08878961239465e-103,"0","STEAP4"
"COL15A1",9.64654665258436e-108,2.27941026110017,0.46,0.116,4.12293403931456e-103,"0","COL15A1"
"TMEM176A",1.19509826224488e-107,2.28994518854718,0.323,0.047,5.10784997283461e-103,"0","TMEM176A"
"GHR",1.9008871759513e-107,3.35422755263588,0.258,0.026,8.12439179001584e-103,"0","GHR"
"ELN",2.11762356066582e-107,2.9983948233887,0.298,0.039,9.05072309828571e-103,"0","ELN"
"BDH2",1.21387166642821e-106,1.46275179385768,0.483,0.119,5.18808750231416e-102,"0","BDH2"
"RECK",2.03050012536135e-106,1.94682726958852,0.329,0.05,8.6783575357944e-102,"0","RECK"
"JUN",2.76091895057723e-106,1.15847752890916,0.79,0.349,1.18001675947671e-101,"0","JUN"
"MAP1LC3A",4.89156212584439e-106,1.55221278312551,0.442,0.098,2.09065365258589e-101,"0","MAP1LC3A"
"CCN2",1.75311862712538e-104,2.01486192574848,0.526,0.154,7.49282901233387e-100,"0","CCN2"
"TWSG1",1.46449939939501e-103,1.63190462995998,0.459,0.114,6.25927043301426e-99,"0","TWSG1"
"GOLIM4",2.51782629884302e-103,1.59695085702076,0.61,0.214,1.07611896012551e-98,"0","GOLIM4"
"BMP4",3.11068662297617e-103,1.69721217019954,0.374,0.07,1.32950746266002e-98,"0","BMP4"
"PLOD1",2.02552732194614e-102,1.82902249617317,0.436,0.103,8.65710377399781e-98,"0","PLOD1"
"WASF3",2.11014389848103e-102,2.80947369895816,0.287,0.037,9.01875502210792e-98,"0","WASF3"
"CARMIL1",3.6342295940283e-102,2.28584001532431,0.356,0.065,1.55326972848769e-97,"0","CARMIL1"
"ZBTB20",2.85506167811527e-101,1.05285765680828,0.826,0.376,1.22025336122647e-96,"0","ZBTB20"
"TMEM176B",3.08338007731493e-101,2.1774600353831,0.322,0.052,1.3178366450444e-96,"0","TMEM176B"
"USP53",7.8221110713645e-101,1.64875002480503,0.628,0.23,3.34317027190119e-96,"0","USP53"
"SESTD1",8.25344365736926e-101,2.150429918887,0.388,0.081,3.52752181915962e-96,"0","SESTD1"
"C1RL",1.42012853917724e-99,1.73832495840052,0.343,0.06,6.06962937644354e-95,"0","C1RL"
"TGFBR2",2.94005939256665e-99,1.38248039875332,0.646,0.236,1.25658138438299e-94,"0","TGFBR2"
"DPYSL2",4.11691751899044e-99,1.19196325022651,0.831,0.414,1.75957054761651e-94,"0","DPYSL2"
"LSP1P4",7.68629155273631e-99,1.77567187045429,0.285,0.038,3.2851210096395e-94,"0","LSP1P4"
"GAS6",1.4895254265993e-98,1.63292169371633,0.486,0.135,6.36623167328542e-94,"0","GAS6"
"FAM114A1",4.56619802350504e-97,2.081949724621,0.355,0.069,1.95159303524605e-92,"0","FAM114A1"
"NNMT",1.48896804458777e-96,0.480394417521278,0.91,0.394,6.36384942256814e-92,"0","NNMT"
