"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDC37",9.80168242808117e-65,1.23490683817723,0.581,0.213,4.18923906976189e-60,"2","CDC37"
"CFLAR",4.45901531012701e-64,0.681152249521642,0.803,0.368,1.90578314354829e-59,"2","CFLAR"
"OSMR1",2.01508819243788e-63,1.74004333037815,0.475,0.146,8.61248693447949e-59,"2","OSMR"
"HLA-F1",2.80572984995209e-63,1.13718138155686,0.501,0.153,1.19916893786952e-58,"2","HLA-F"
"C21orf91",8.49220070538657e-63,1.91789259891279,0.271,0.048,3.62956658148222e-58,"2","C21orf91"
"MTUS11",9.33529520451064e-63,1.12043895898346,0.643,0.245,3.98990517040785e-58,"2","MTUS1"
"LDHA1",1.973729109092e-62,0.926451519779583,0.958,0.646,8.43571821225919e-58,"2","LDHA"
"UGCG",2.30601303367368e-62,1.30547159509795,0.678,0.289,9.85589970592133e-58,"2","UGCG"
"PDLIM5",3.03491479489511e-62,0.331779352372871,0.634,0.242,1.29712258333817e-57,"2","PDLIM5"
"MECOM",5.65692380901146e-62,1.41269360996882,0.264,0.046,2.4177692359715e-57,"2","MECOM"
"CTNNA1",1.04981292426749e-61,1.16003042744179,0.652,0.272,4.48690043831924e-57,"2","CTNNA1"
"DEDD",1.6412484033523e-61,1.35618566432292,0.492,0.157,7.01469567592773e-57,"2","DEDD"
"F11R",5.23951577763004e-61,1.52639892259734,0.282,0.053,2.23936904335908e-56,"2","F11R"
"PIK3C2A",6.09505774172485e-61,1.35623718457386,0.375,0.095,2.6050276788132e-56,"2","PIK3C2A"
"PSMB9",1.13179824187699e-60,1.11653494824448,0.483,0.148,4.83730568578224e-56,"2","PSMB9"
"ELOC",1.15214443342111e-60,0.988946125340801,0.787,0.395,4.92426530844184e-56,"2","ELOC"
"DUSP6",4.4405619557442e-60,1.16135599276769,0.525,0.179,1.89789617988507e-55,"2","DUSP6"
"SULF1",7.15691986334333e-60,1.23520576157013,0.348,0.084,3.05886754959294e-55,"2","SULF1"
"CEP112",7.76181661462204e-60,1.67336243790198,0.259,0.046,3.31740042108946e-55,"2","CEP112"
"CTNNAL1",8.0932886317174e-60,1.40725373101533,0.415,0.115,3.45907156119602e-55,"2","CTNNAL1"
"DNAJA1",1.27115160927714e-59,0.875881682371484,0.969,0.731,5.43290197805048e-55,"2","DNAJA1"
"RNF122",1.38294629312518e-59,1.17466674957281,0.375,0.097,5.91071245681703e-55,"2","RNF122"
"CTNND1",4.12461328926155e-59,1.14834554796952,0.565,0.205,1.76285971983039e-54,"2","CTNND1"
"LY96",4.45614319448596e-59,1.72950135091872,0.279,0.055,1.9045556013233e-54,"2","LY96"
"TNFSF101",4.5728975892997e-59,1.09944948612443,0.543,0.188,1.95445642966669e-54,"2","TNFSF10"
"SHISA5",4.70038830818053e-59,1.50206839551601,0.494,0.168,2.00894596291636e-54,"2","SHISA5"
"RBMS2",8.30519651331872e-59,1.39870465748395,0.324,0.075,3.54964098979242e-54,"2","RBMS2"
"HBEGF",1.0571911854617e-58,1.10407181129607,0.479,0.151,4.51843512666332e-54,"2","HBEGF"
"GRASP",2.19996911997115e-58,1.4575269270157,0.379,0.1,9.40266801875668e-54,"2","GRASP"
"FLOT2",2.44587241699362e-58,2.10318995281027,0.33,0.079,1.04536587102307e-53,"2","FLOT2"
"LPAR6",2.45371463320931e-58,0.375166676403196,0.45,0.135,1.04871763423366e-53,"2","LPAR6"
"TUBB6",4.83251443824304e-58,1.6917027022341,0.503,0.181,2.06541667090508e-53,"2","TUBB6"
"CARD16",6.64369670518209e-58,0.763157643772592,0.324,0.073,2.83951597179483e-53,"2","CARD16"
"FLI1",1.15411401589436e-57,1.78060087158147,0.322,0.075,4.93268330393249e-53,"2","FLI1"
"RPS6KA2",7.62006841461096e-57,1.39679506713584,0.401,0.115,3.25681724040473e-52,"2","RPS6KA2"
"B2M1",1.36825766769458e-56,0.557620692430728,1,0.937,5.84793327172665e-52,"2","B2M"
"GIMAP71",1.69559768543176e-56,0.453719035448287,0.466,0.137,7.24698450753535e-52,"2","GIMAP7"
"SPTLC2",1.97818983084073e-56,1.73304200022342,0.304,0.069,8.45478333701328e-52,"2","SPTLC2"
"EPB41L4A",2.88468701714053e-56,1.467574999096,0.284,0.059,1.23291523112586e-51,"2","EPB41L4A"
"TMOD3",2.90626515912504e-56,1.13194650323221,0.519,0.186,1.24213772901004e-51,"2","TMOD3"
"ITM2B1",7.0249368073401e-56,0.883060749914192,0.989,0.725,3.00245799145716e-51,"2","ITM2B"
"SPARCL11",8.44887705898663e-56,0.71321693765571,0.998,0.593,3.61105005501088e-51,"2","SPARCL1"
"GBP1",8.86625973355045e-56,1.66798256498188,0.432,0.134,3.78943941011946e-51,"2","GBP1"
"AFDN",1.89437674863838e-55,1.10533351919324,0.357,0.092,8.09656622368045e-51,"2","AFDN"
"CCDC50",2.64388765676558e-55,0.884140171432309,0.494,0.17,1.12999758450161e-50,"2","CCDC50"
"NOP10",3.16701450449874e-55,0.713397811285183,0.683,0.286,1.35358199922276e-50,"2","NOP10"
"PODXL",5.96423816890553e-55,0.962988096055848,0.319,0.075,2.54911539339022e-50,"2","PODXL"
"NOTCH1",7.12155016802415e-55,1.58172560469926,0.29,0.063,3.04375054181352e-50,"2","NOTCH1"
"SLC2A14",1.27340718599075e-54,1.85186780890905,0.346,0.092,5.44254231292446e-50,"2","SLC2A14"
"CTTNBP2NL",1.48979252194119e-54,1.25828031147194,0.341,0.086,6.36737323877666e-50,"2","CTTNBP2NL"
"DAAM1",1.81857739148078e-54,1.55294174949631,0.497,0.181,7.77259977118885e-50,"2","DAAM1"
"COL15A11",2.43386776019512e-54,1.26613593175663,0.457,0.145,1.0402350807074e-49,"2","COL15A1"
"MAT2A",2.4343631239497e-54,0.860053403755622,0.778,0.401,1.0404467991761e-49,"2","MAT2A"
"RALGDS",2.75414368267575e-54,1.40905190039021,0.37,0.102,1.17712100997562e-49,"2","RALGDS"
"BZW2",2.95248184463317e-54,1.31258624735015,0.417,0.127,1.26189074039622e-49,"2","BZW2"
"VAMP5",3.97041471545293e-54,1.25274362418765,0.596,0.253,1.69695524938458e-49,"2","VAMP5"
"EIF2S1",6.01048964619083e-54,0.872841348533863,0.601,0.241,2.56888327478196e-49,"2","EIF2S1"
"KCTD12",7.8174345420189e-54,1.59522959268351,0.439,0.141,3.34117152325888e-49,"2","KCTD12"
"RAB5A",9.32758467199249e-54,1.21596302819547,0.581,0.232,3.98660968880959e-49,"2","RAB5A"
"ARHGEF3",1.04406866622553e-53,1.11367902375646,0.31,0.074,4.46234947944791e-49,"2","ARHGEF3"
"BCL3",1.23183265663767e-53,1.1945884113635,0.548,0.213,5.26485277446938e-49,"2","BCL3"
"CEMIP21",1.92317521311006e-53,0.761890162891111,0.663,0.294,8.21965086083239e-49,"2","CEMIP2"
"MEF2C",2.24971005799195e-53,0.697319328517412,0.508,0.171,9.6152607878576e-49,"2","MEF2C"
"HSPD1",2.99286159001925e-53,1.0532006739239,0.88,0.584,1.27914904357423e-48,"2","HSPD1"
"RPGR",4.26331127057342e-53,1.47989065588135,0.295,0.067,1.82213923704308e-48,"2","RPGR"
"ATP11C",4.76460069371987e-53,1.15740049585345,0.288,0.065,2.03639033649587e-48,"2","ATP11C"
"ARL5B",8.7200102283423e-53,1.16522758539278,0.494,0.175,3.7269323715935e-48,"2","ARL5B"
"BST2",1.32873872730542e-52,0.755091397440395,0.519,0.183,5.67902932050338e-48,"2","BST2"
"RAB13",1.48240709315071e-52,1.21941305894456,0.397,0.118,6.33580791612616e-48,"2","RAB13"
"CD151",2.19482892457438e-52,1.17767787112439,0.452,0.148,9.38069882363089e-48,"2","CD151"
"OCIAD2",8.17060027854078e-52,1.01251499101071,0.29,0.064,3.49211455904833e-47,"2","OCIAD2"
"TCF41",1.03462247613793e-51,0.509706840361112,0.849,0.433,4.42197646301352e-47,"2","TCF4"
"LRRFIP11",1.11000912234256e-51,0.624882054949021,0.86,0.469,4.74417898889212e-47,"2","LRRFIP1"
"DOCK9",1.19781513298835e-51,0.985060765107892,0.381,0.11,5.1194618783922e-47,"2","DOCK9"
"HIP1",2.20769929420593e-51,1.5489921935382,0.284,0.065,9.43570678343613e-47,"2","HIP1"
"BHLHE40",2.21123619924641e-51,1.28681450019224,0.543,0.215,9.45082351557915e-47,"2","BHLHE40"
"GASK1B1",3.63691018093405e-51,1.22882582140271,0.41,0.126,1.55441541133121e-46,"2","GASK1B"
"STX11",6.2829435762451e-51,1.33513175563693,0.368,0.105,2.68533008448716e-46,"2","STX11"
"IFITM2",1.32056306107802e-50,0.619157480622105,0.991,0.849,5.64408652304744e-46,"2","IFITM2"
"GRPEL1",2.37203318378585e-50,1.21211875471626,0.503,0.184,1.01380698275007e-45,"2","GRPEL1"
"PEA15",6.83682979073241e-50,1.08135140597324,0.561,0.233,2.92206105255903e-45,"2","PEA15"
"SLC25A25",8.06659730173539e-50,1.91282861065673,0.253,0.054,3.4476636867617e-45,"2","SLC25A25"
"ARPC1B",9.69231512715392e-50,0.737170205558403,0.508,0.189,4.14249548534559e-45,"2","ARPC1B"
"AC093909.1",1.27026805993948e-49,1.6767197635655,0.262,0.057,5.42912568818132e-45,"2","AC093909.1"
"PLA2G16",1.34745321986072e-49,1.32591475431868,0.41,0.131,5.75901506168471e-45,"2","PLA2G16"
"LIMA11",1.61518393375253e-49,1.09276204453285,0.57,0.225,6.90329613285832e-45,"2","LIMA1"
"NUDCD1",2.26798898707003e-49,1.38418762101527,0.257,0.055,9.6933849307373e-45,"2","NUDCD1"
"MARCKSL1",2.93526642777114e-49,1.27428920621688,0.313,0.081,1.25453287122939e-44,"2","MARCKSL1"
"SLC44A2",3.93342315541267e-49,1.21712056748149,0.41,0.132,1.68114505662338e-44,"2","SLC44A2"
"CLIC4",1.0721368330215e-48,0.853581326015791,0.632,0.294,4.5823128243339e-44,"2","CLIC4"
"UCK2",1.36679060730142e-48,1.39744611301713,0.259,0.057,5.84166305560629e-44,"2","UCK2"
"PRDX1",2.69445646305183e-48,0.893342491727473,0.863,0.543,1.15161069230835e-43,"2","PRDX1"
"CTSC",2.98928670677742e-48,1.02468763678671,0.452,0.157,1.27762113847667e-43,"2","CTSC"
"CCDC85B",3.2093374422343e-48,1.44601149810312,0.377,0.116,1.37167082281094e-43,"2","CCDC85B"
"NOCT",3.90127588965903e-48,1.60487851700431,0.368,0.113,1.66740531524027e-43,"2","NOCT"
"LDLR",8.82360544856835e-48,0.987938622199263,0.477,0.174,3.77120896871811e-43,"2","LDLR"
"SLC9B2",1.08496982942732e-47,1.61119874070033,0.377,0.117,4.63716105097235e-43,"2","SLC9B2"
"SNTB21",1.20069649196373e-47,0.917343504794058,0.419,0.139,5.13177680665297e-43,"2","SNTB2"
"PML",1.76732504101506e-47,1.87226281187457,0.268,0.063,7.55354722529838e-43,"2","PML"
"VAMP3",1.90701122007268e-47,0.817171451112397,0.461,0.162,8.15056595459063e-43,"2","VAMP3"
"AL158206.1",2.97675656101815e-47,1.85184644459712,0.251,0.054,1.27226575417916e-42,"2","AL158206.1"
"SEC14L1",3.38137726247235e-47,0.493224031573391,0.421,0.134,1.44520064198068e-42,"2","SEC14L1"
"TPM4",3.82729608726704e-47,0.687441396418855,0.809,0.421,1.63578634769793e-42,"2","TPM4"
"PHACTR2",4.86428686970806e-47,0.680085028264088,0.572,0.23,2.07899620811323e-42,"2","PHACTR2"
